Company name;company_id;Scope of target;Method;Intensity Metric;Baseline year;Base year emissions value;Base year emissions unit;Start year;Target year;Reduction ambition;Unit;Incomplete Information;Achievement as of year;Achievement value;Achievement unit
SARTORIUS STEDIM BIOTECH;id1;"[""Scope 1"", ""Scope 2""]";Unspecified;Not Applicable;2019;56897;Metric tonnes of CO2 equivalent (mtCO2e);Unspecified;2030;50.00%;Percentage reduction from baseline year;Unspecified;Unspecified;Unspecified;Unspecified
SARTORIUS STEDIM BIOTECH;id1;"[""Scope 3""]";Not Applicable;Per Revenue;2019;Unspecified;Unspecified;Unspecified;2030;68.62%;Percentage reduction from baseline year;Unspecified;Unspecified;Unspecified;Unspecified
VALMONT INDUSTRIES  INCORPORATED;id2;"[""Scope 1 - Mobile Combustion""]";Not Applicable;Per Revenue;2018;7.753;Metric tonnes of CO2 equivalent (mtCO2e) per million of US Dollars (USD);Unspecified;2025;19.00%;Percentage reduction from baseline year;Unspecified;Unspecified;Unspecified;Unspecified
Bayerische Motoren Werke AG;id3;"[""Scope 1"", ""Scope 2""]";Market-based;Not Applicable;2015;1353600;Metric tonnes of CO2 equivalent (mtCO2e);2015;2050;100.00%;Percentage reduction from baseline year;Unspecified;2019;897966;Metric tonnes of CO2 equivalent (mtCO2e)
Deutsche Telekom AG;id4;"[""Scope 1"", ""Scope 2""]";Market-based;Not Applicable;2017;4015000;Metric tonnes of CO2 equivalent (mtCO2e);Unspecified;2025;95.00%;Percentage reduction from baseline year;Unspecified;2021;94%;Percentage reduction from baseline year
Deutsche Telekom AG;id4;"[""Scope 3 - Capital Goods"", ""Scope 3 - Downstream Leased Assets"", ""Scope 3 - Purchased Goods and Aervices"", ""Scope 3 - Use of Sold Products""]";Not Applicable;Per Customer;2017;53;Kilograms of CO2 equivalent (kgCO2e) per customer;Unspecified;2030;25.00%;Percentage reduction from baseline year;Unspecified;2021;4%;Percentage reduction from baseline year
NEWELL BRANDS INC;id5;"[""Scope 1"", ""Scope 2""]";Unspecified;Not Applicable;2016;416440;Metric tonnes of CO2 equivalent (mtCO2e);Unspecified;2025;30.00%;Percentage reduction from baseline year;Unspecified;2021;28%;Percentage reduction from baseline year
KEYCORP;id6;"[""Scope 1"", ""Scope 2""]";Market-based;Not Applicable;2016;65734;Metric tonnes of CO2 equivalent (mtCO2e);Unspecified;2030;40.00%;Percentage reduction from baseline year;Unspecified;2021;77.00%;Percentage of the reduction ambition
KEYCORP;id6;"[""Scope 1"", ""Scope 2""]";Market-based;Not Applicable;2016;65734;Metric tonnes of CO2 equivalent (mtCO2e);Unspecified;2050;80.00%;Percentage reduction from baseline year;Unspecified;2021;39.00%;Percentage of the reduction ambition
EDAG ENGINEERING GROUP AG;id7;"[""Scope 1"", ""Scope 2"", ""Scope 3""]";Unspecified;Per Employee;2021;2.88;Metric tonnes of CO2 equivalent (mtCO2e) per employee;2021;2022;8.00%;Percentage reduction from baseline year;Unspecified;Unspecified;Unspecified;Unspecified
