metric_type;metric_id;metric_name;metric_unit;metric_description;metric_id_parent;flag_name;flag_name_proper;flag_direction;flag_type;flag_e_s_g_plus;flag_tier;frameworks;active
flag;72f6de95-fbfe-42ac-8e19-591231ce2243;HIGH_BIODIVERSITY_RISK_NEGATIVE_SFDR_PAI_E_TIER_2;;;54a08800-e074-44f4-bcdb-103b4ef18699;HIGH BIODIVERSITY RISK;High Biodiversity Risk;NEGATIVE;SFDR_PAI;E;TIER_2;sfdr;1
flag;7fd77c00-649f-48e0-a09d-3004ac156309;FOSSIL_FUELS_NEGATIVE_SFDR_PAI_E_TIER_2;;;54a08800-e074-44f4-bcdb-103b4ef18699;FOSSIL FUELS;Fossil Fuels;NEGATIVE;SFDR_PAI;E;TIER_2;sfdr;1
flag;54a08800-e074-44f4-bcdb-103b4ef18699;PAI_E_NEGATIVE_NONE_E_TIER_1;;;c2d8b591-78bd-4ef6-86a7-cefa2ff63923;PAI_E;PAI_E;NEGATIVE;;E;TIER_1;sfdr;1
flag;c1253dfd-dbd0-409d-be7d-98c83ed8b60b;PAI_S_NEGATIVE_NONE_S_TIER_1;;;1d1444cd-31fe-4007-aa17-60241c3d3267;PAI_S;PAI_S;NEGATIVE;;S;TIER_1;sfdr;1
flag;08aef660-8e4a-4afa-97e5-7e4ae10bf16c;NO_UNGC_AND_OECD_COMPLIANCE_MONITORING_OR_GRIEVANCE_MECHANISM_NEGATIVE_SFDR_PAI_S_TIER_2;;;c1253dfd-dbd0-409d-be7d-98c83ed8b60b;NO UNGC AND OECD COMPLIANCE MONITORING OR GRIEVANCE MECHANISM;No UNGC and OECD Compliance Monitoring or Grievance Mechanism;NEGATIVE;SFDR_PAI;S;TIER_2;sfdr;1
flag;2cbcd487-8c97-45aa-8cc8-a35c180e52c3;UNGC_AND_OECD_VIOLATIONS_NEGATIVE_SFDR_PAI_S_TIER_2;;;c1253dfd-dbd0-409d-be7d-98c83ed8b60b;UNGC AND OECD VIOLATIONS;UNGC and OECD Violations;NEGATIVE;SFDR_PAI;S;TIER_2;sfdr;1
flag;f3919537-bc1c-4ae8-a4ca-b8c453ebb33c;HARD-TO-DECARBONISE-ACTIVITIES_CONTESTED_PRODUCT_E_TIER_2;;;6a5add72-dfaf-48be-bcac-6237eae4de26;HARD-TO-DECARBONISE-ACTIVITIES;Hard-To-Decarbonise-Activities;CONTESTED;PRODUCT;E;TIER_2;flags;1
flag;c64c4f57-7759-4eca-bcd9-0be4570e5270;CRYPTOCURRENCY_MINING_&_EXCHANGE_CONTESTED_PRODUCT_E_TIER_3;;;f3919537-bc1c-4ae8-a4ca-b8c453ebb33c;CRYPTOCURRENCY MINING & EXCHANGE;Cryptocurrency Mining & Exchange;CONTESTED;PRODUCT;E;TIER_3;flags;1
flag;33239ee9-ef0c-4c8f-bdf1-1fd737e28031;DATACENTRES_CONTESTED_PRODUCT_E_TIER_3;;;f3919537-bc1c-4ae8-a4ca-b8c453ebb33c;DATACENTRES;Datacentres;CONTESTED;PRODUCT;E;TIER_3;flags;1
flag;1afeaedb-6f78-4ad0-b50c-15de8e0cc8cc;NOT_MEETING_GHG_EMISSIONS_REDUCTION_TARGETS_NEGATIVE_CONDUCT_E_TIER_3;;;0d4e8c68-61a1-4944-9143-e61bc44536aa;NOT MEETING GHG EMISSIONS REDUCTION TARGETS;Not Meeting GHG Emissions Reduction Targets;NEGATIVE;CONDUCT;E;TIER_3;flags;1
flag;435e389a-63e2-4a87-9fc2-e6477cfd6d4a;HIGH_CARBON_INTENSITY_NEGATIVE_CONDUCT_E_TIER_2;;;ab8b8843-2be5-4bc7-bf0b-0c00d1766e7b;HIGH CARBON INTENSITY;High Carbon Intensity;NEGATIVE;CONDUCT;E;TIER_2;flags;1
flag;3a96cc33-0c93-4972-b452-3b08e4813adb;LOW_CAPEX_IN_LOW-CARBON/WATER_ALTERNATIVES_NEGATIVE_CONDUCT_E_TIER_3;;;b2a09dcf-c74e-4b08-a443-c65df6761636;LOW CAPEX IN LOW-CARBON/WATER ALTERNATIVES;Low CAPEX in Low-Carbon/Water Alternatives;NEGATIVE;CONDUCT;E;TIER_3;flags;1
